,index,om,yr,tz,stf,stn,mag,inj,fat,loss,closs,slat,slon,len,wid,fc,p_elat,p_elon,Time,sDate,sTime,Predicted_Time
4287,20294,502,1960.0,3,20,49,0,0,0,2,0,37.55,-96.77,0.1,10,0,11.595624931094187,-34.81078984774262,57.0,8/2/1960,14:00:00,1900-01-03 23:00:00
4292,20021,229,1960.0,3,17,18,1,0,0,4,0,38.2,-89.7,0.1,10,0,0.33425657145069115,-0.7454515536280539,54.0,5/16/1960,16:45:00,1900-01-03 22:45:00
4311,20109,317,1960.0,3,20,37,0,0,0,1,0,38.17,-95.32,0.1,10,0,0.006669209879229437,-0.01742439730763867,88.0,5/25/1960,15:10:00,1900-01-05 07:10:00
4329,4977,185,1960.0,3,40,57,1,0,0,4,0,35.88,-94.9,4.6,10,0,31.999623291333652,-85.34497916020842,1.0,5/5/1960,21:00:00,1900-01-01 22:00:00
4335,4879,87,1960.0,3,19,3,2,0,0,4,0,40.8,-93.3,9.5,200,0,35.74940414010745,-98.59065911742564,1.0,4/16/1960,16:40:00,1900-01-01 17:40:00
4343,5228,436,1960.0,3,46,5,0,0,0,3,0,45.52,-98.62,0.1,10,0,1.200831133234342,-3.1467982808707418,20.0,6/26/1960,22:05:00,1900-01-02 18:05:00
4344,20230,438,1960.0,3,46,6,1,0,0,3,0,43.33,-98.35,0.1,10,0,31.507765137353918,-97.19702180957098,7.0,6/27/1960,16:15:00,1900-01-01 23:15:00
4346,20314,522,1960.0,3,31,41,2,0,0,4,0,41.4,-102.35,0.1,10,0,0.00033199554069119285,-0.0010683389074693421,43.0,8/17/1960,19:35:00,1900-01-03 14:35:00
4375,5194,402,1960.0,3,12,18,1,0,0,3,0,27.72,-82.43,0.1,10,0,39.39326359187478,-97.09903838037397,3.0,6/20/1960,15:45:00,1900-01-01 18:45:00
4424,5346,554,1960.0,3,51,5,2,0,0,4,0,37.32,-78.63,1,10,0,22.884469318446733,-46.31052132392061,6.0,9/11/1960,13:00:00,1900-01-01 19:00:00
4455,20167,375,1960.0,3,31,13,1,0,0,5,0,42.45,-97.48,1,300,1,0.006371739771065668,-0.01691533163495534,58.0,6/14/1960,21:00:00,1900-01-04 07:00:00
4478,19805,13,1960.0,3,5,2,1,2,0,4,0,35.3,-91.58,6.4,83,0,32.63916280827636,-92.14280790214256,1.0,2/9/1960,15:45:00,1900-01-01 16:45:00
4501,20036,244,1960.0,3,46,1,0,0,0,0,0,43.32,-100.65,0.1,10,0,5.038494668109669,-10.632253450577203,81.0,5/18/1960,17:16:00,1900-01-05 02:16:00
